title,genres,actors,release_date,imdb_rating,summary,poster_path,wiki_link
Swarag Se Sunder,Drama | Family,Jeetendra | Jaya Prada | Mithun Chakraborty | Padmini Kolhapure | Asrani | Aruna Irani | Prem Chopra | Kader Khan | Satyendra Kapoor | Shoma Anand,17 February 1986 (India),5.6,Vijay Choudhury lives a comfortable lifestyle with his wife  Laxmi  and step-brother  Ravi. Although Vijay and Laxmi have been married for several years  they have no children  and as a ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/SwaragMithun.jpg/220px-SwaragMithun.jpg,https://en.wikipedia.org/wiki/Swarag_Se_Sunder
Swati (1986 film),Drama,Shashi Kapoor | Sharmila Tagore | Meenakshi Sheshadri | Vinod Mehra | Madhuri Dixit | Akbar Khan | Sarika | Madhu Kapoor | Raja Bundela | Feroz | Shubha Khote | Dinesh Hingoo | Mahendra Sharma | Shree Bhagwan,2 May 1986 (India),6.8,Sharda  a nurse and single mother  raises her daughter Swati as an independent  articulate young woman. Swati is a strong advocate of women's rights in a society where there is significant ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Swati86.jpg/220px-Swati86.jpg,https://en.wikipedia.org/wiki/Swati_(1986_film)
Shatru,Action | Adventure | Crime,Rajesh Khanna | Shabana | Ashok Kumar | Raj Kiran | Prem Chopra | Om Shivpuri | Anup Kumar | Manmauji | Sudhir | Arun Govil | Mac Mohan | Sajjan | Golam Mustafa | Syed Hasan Imam,1986 (India),7.1,Inspector Ashok Sharma is assigned to take over as Inspector In-Charge of a remote police station  which he does. Upon his arrival there  he comes to the rescue of a blind man and a widow  ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Shatrufilm.jpg/220px-Shatrufilm.jpg,https://en.wikipedia.org/wiki/Shatru
Aaj Ka Daur,Action | Drama,Jackie Shroff | Padmini Kolhapure | Nirupa Roy | Kader Khan | Shakti Kapoor,1 January 1985 (India),4.9,This movie reflects the time and era in India's history. A time that most politicians would prefer to turn a nelson's eye on; an era that would be excluded from most history books. This ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Aaj_Ka_Daur.jpg/220px-Aaj_Ka_Daur.jpg,https://en.wikipedia.org/wiki/Aaj_Ka_Daur
Zindagani,Drama,Rakhee Gulzar | Mithun Chakraborty | Rati Agnihotri | Ranjeet | Suresh Oberoi | Amjad Khan | Iftekhar | Seema Deo | Paintal | Manik Irani | Madhu Malini | Manmauji | Alka Noopur | Kirti Kumar,3 July 1986 (India),7.2,Anand is looking to arrest the woman who killed his father  unaware that she's his own mother.,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Zindaganinew.jpg/220px-Zindaganinew.jpg,https://en.wikipedia.org/wiki/Zindagani
Aandhi-Toofan,Drama,Shashi Kapoor | Hema Malini | Danny Denzongpa | Shatrughan Sinha | Mithun Chakraborty | Meenakshi Sheshadri | Raj Kiran | Mazhar Khan | Kaajal Kiran | Mac Mohan | Sudhir | Goga Kapoor | Tej Sapru | Om Shivpuri,22 March 1985 (India),6.5,Inspector Ranjeet Singh was killed by Balbir a notorious bike gangster soon after his marriage.Years have passed by but police still haven't been able to arrest Balbir.Ranjit's Singh's ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/AandhiToofanfilm.jpg/220px-AandhiToofanfilm.jpg,https://en.wikipedia.org/wiki/Aandhi-Toofan
Aar Paar (1985 film),Action,Mithun Chakraborty | Rozina | Utpal Dutt | Nuton | Golam Mustafa | Ahmed Sharif | Tarun Ghosh | A.T.M. Shamsuzzaman | Syed Hasan Imam | Amol Bose | Sumita Devi | Manik Dutt | Asit Kumar Sen | Maya Ghosh,5 May 1985 (India),6.5,Ghonsyam a troubled fisherman meets a twistic tale which surrounds agony and love,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Aar_Paar_1985.jpg/220px-Aar_Paar_1985.jpg,https://en.wikipedia.org/wiki/Aar_Paar_(1985_film)
Adventures of Tarzan,Action | Adventure | Comedy,Kimi Katkar | Dalip Tahil | Om Shivpuri | Hemant Birje | Narendra Nath | Raja Duggal | R.S. Malik | Suresh | Narinder Anand | Durga Prasad | Gautam Sarin | Sunita,13 December 1985 (India),4.4,Ruby Shetty lives a wealthy lifestyle with her widowed dad  who would to travel to the deep jungles of India to find a fabled tribe in the Shakabhoomi region  where others have gone - but ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Adventures_of_Tarzan_poster.jpg/220px-Adventures_of_Tarzan_poster.jpg,https://en.wikipedia.org/wiki/Adventures_of_Tarzan
Aitbaar,Action | Thriller,Raj Babbar | Dimple Kapadia | Danny Denzongpa | Sharat Saxena | Suresh Oberoi | Leena Das | Anupam Kher | Huma Khan,22 March 1985 (India),7.0,Widower Mr. Khanna is a very wealthy businessman in Bombay. He has a daughter named  Neha  of whom he adores. Realizing that he is not young anymore he wanted her to get married before he ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Aitbaar_1985_poster.jpg/220px-Aitbaar_1985_poster.jpg,https://en.wikipedia.org/wiki/Aitbaar
Alag Alag,Family | Musical | Romance,Rajesh Khanna | Shashi Kapoor | Tina Ambani | Sushma Seth | Om Prakash | Deven Verma | Urmila Bhatt | Om Shivpuri | Gita Siddharth,27 September 1985 (India),6.4,Two people from different strata in society  Chandni and Neeraj will do anything to get there obligations carried out. While Chandni always dreams of a luxurious life  Neeraj wants some of ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Alag_Alag.jpg/220px-Alag_Alag.jpg,https://en.wikipedia.org/wiki/Alag_Alag
Aghaat,Crime | Drama,Om Puri | Bharat Gopy | Pankaj Kapur | Naseeruddin Shah | Deepa Sahi | Amrish Puri | Sadashiv Amrapurkar | Rohini Hattangadi,28 April 1987 (Denmark),7.1,Madhav Verma (Om Puri) is a dedicated  honest  and diligent union representative. He represents the majority of the employees in an organization  which recognizes his union. However  there ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Aghaat%281985%29.jpg/200px-Aghaat%281985%29.jpg,https://en.wikipedia.org/wiki/Aghaat
Arjun (1985 film),Action | Crime | Drama,Sunny Deol | Dimple Kapadia | Raj Kiran | Anupam Kher | Satyajeet | Supriya Pathak | A.K. Hangal | Shashikala | Prem Chopra | Shafi Inamdar | Paresh Rawal | Annu Kapoor | Sunder | Raja Bundela,20 April 1985 (India),7.1,Arjun Malvankar after his graduation thrives to get job. The corruption and injustice taking place in his community frustrates him to the extent of revolting with the help of some of his ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Arjun_Movie_1985.JPG/220px-Arjun_Movie_1985.JPG,https://en.wikipedia.org/wiki/Arjun_(1985_film)
Babu (1985 film),Drama | Family,Rajesh Khanna | Hema Malini | Mala Sinha | Rati Agnihotri | Madan Puri | Baby Geeta | Deepak Parashar | Om Shivpuri | Navin Nischol | Rajendra Nath | Paintal | Agha,4 October 1985 (India),7.3,Babu is a naive young man who likes to go out of his way to help people. He has fallen in love with Kammo  but in the process of helping another  he lands himself in jail for two years. ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Babu_%281985_film%29.jpg/220px-Babu_%281985_film%29.jpg,https://en.wikipedia.org/wiki/Babu_(1985_film)
Baadal,Drama | Family,Shammi Kapoor | Mithun Chakraborty | Poonam Dhillon | Arun Govil | Shakti Kapoor | Madhu Kapoor | Ashalata Wabgaonkar | Jayshree T. | Madan Puri | Rajendra Nath | Prema Narayan | Zahra Merchant | Chitto Chopra | Javed Khan,7 August 1985 (India),5.8,Baadal and Meenakshi love each other but parents are against them due to old enmity.,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Baadalfilm.JPG/220px-Baadalfilm.JPG,https://en.wikipedia.org/wiki/Baadal
Balidaan (1985 film),Action | Thriller,Bindu,26 April 1985 (India),5.8,Police Inspector Vijay lives a wealthy lifestyle in Bombay  India  along with his Bua  while his widower dad lives in the countryside in a farmhouse. Vijay meets and falls in love with Uma ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Balidaan_%281985_film%29.jpg/220px-Balidaan_%281985_film%29.jpg,https://en.wikipedia.org/wiki/Balidaan_(1985_film)
Bepanaah,Drama | Family,Shashi Kapoor | Mithun Chakraborty | Poonam Dhillon | Rati Agnihotri | Dheeraj Kumar | Kader Khan | Madan Puri | Suresh Oberoi | Paintal | Satyendra Kapoor | Manik Irani | Baby Guddu | Gurbachan Singh,6 September 1985 (India),6.4,Coming from a small village from Central India  naive Bajrang finds himself exploited when he travels to Bombay. On the bright side  he meets with a beautiful woman named Bhavna Bhardwaj  ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Bepanaah.jpg/220px-Bepanaah.jpg,https://en.wikipedia.org/wiki/Bepanaah
Bewafai,Drama | Romance,Rajesh Khanna | Rajinikanth | Padmini Kolhapure | Meenakshi Sheshadri | Tina Ambani | Pran | A.K. Hangal,5 July 1985 (India),5.7,Ashok Nath has three female admirers: the mentally imbalance Renu  Vinny and the wealthy Asha. While all three loves him wholeheartedly and will go to any length to attain his love; he ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Bewafai_poster.jpg/220px-Bewafai_poster.jpg,https://en.wikipedia.org/wiki/Bewafai
Debshishu,Drama,Bijoy Dey | Noni Ganguly | Sadhu Meher | Sunil Mukherjee | Smita Patil | Om Puri | Pranab Kumar Sanyal | Sushaant Sanyal,2 February 1987 (Sweden),7.4,This powerful and realistic film is a study of poverty  illiteracy  natural calamities and the toll they take on the human soul. the story of a rural couple who're trying to survive on the ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Debshishufilmhindi.jpg/220px-Debshishufilmhindi.jpg,https://en.wikipedia.org/wiki/Debshishu
Dekha Pyar Tumhara,Comedy | Drama,Kamal Haasan | Rati Agnihotri | Deven Verma,20 December 1985 (India),5.9,Bombay-based Anu lives a wealthy lifestyle along with her businessman dad  Jaggu Kailashnath  and mom. While on a vacation at Ooty she meets with and falls in love with Vishal  who also ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/DekhaPyarTumhara.jpg/220px-DekhaPyarTumhara.jpg,https://en.wikipedia.org/wiki/Dekha_Pyar_Tumhara
Faasle,Drama | Romance,Sunil Dutt | Rekha | Rohan Kapoor | Farha Naaz | Farooq Shaikh | Deepti Naval | Raj Kiran | Sushma Seth | Kanwar Ajeet | Javed Khan | Alok Nath | Huma Khan | Daljit Kaur | Nikita Shah,27 September 1985 (India),4.3,A story of the blind sense of duty of the elders and the self-confidence and arrogance of the young. Both think they are right for the sake of love.,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Faasle.jpg/220px-Faasle.jpg,https://en.wikipedia.org/wiki/Faasle
Damul,Drama,Annu Kapoor | Sreela Majumdar | Deepti Naval,October 1985 (USA),7.5,Damul (Bonded Until Death) highlights the ill effects of Bonded Labour System while narrating the story of a bonded labour who is left with no choice but to steal by his landlord.,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Damul_poster.jpg/220px-Damul_poster.jpg,https://en.wikipedia.org/wiki/Damul
Geraftaar,Action | Drama,Kamal Haasan | Poonam Dhillon | Madhavi | Ranjeet | Shakti Kapoor | Kader Khan | Nirupa Roy | Aruna Irani | Rabia Amin | Renu Joshi | Om Shivpuri | Satyendra Kapoor | Pinchoo Kapoor | Sharat Saxena,13 September 1985 (India),6.1,Kishan Kumar Khanna is a well-rate film actor who falls head over heels in love with young  beautiful and attractive Anuradha Saxena much to the dislikeness of her gangster brother who ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Geraftaarfilm.jpg/220px-Geraftaarfilm.jpg,https://en.wikipedia.org/wiki/Geraftaar
Ghulami,Action,Dharmendra | Mithun Chakraborty | Naseeruddin Shah | Reena Roy | Smita Patil | Anita Raj | Kulbhushan Kharbanda | Raza Murad | Om Shivpuri | Avtar Gill | Bharat Kapoor | Rajan Haksar | Mazhar Khan | Sulochana Latkar,28 June 1985 (India),7.2,Set in Rajasthan  deals with six characters who deal with their struggle with identity in a caste oppressed society regardless of their contribution towards the society.,https://upload.wikimedia.org/wikipedia/en/0/0a/Ghulami_poster.jpg,https://en.wikipedia.org/wiki/Ghulami
Hoshiyar,Comedy,Jeetendra | Shatrughan Sinha,9 January 1985 (India),4.6,Sitadevi lives a comfortable life with her husband and two sons  Rakesh and Rajesh. While celebrating the birth of one of her son's  her husband gets killed in an automobile accident  and ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Hoshiyar_%281985_film%29.jpg/220px-Hoshiyar_%281985_film%29.jpg,https://en.wikipedia.org/wiki/Hoshiyar
Hum Dono (1985 film),Comedy | Family | Musical,Rajesh Khanna | Hema Malini | Reena Roy | Johnny Walker | Jagdeep | Mukri | Mohan Choti | Om Shivpuri | Roopesh Kumar | Keshto Mukherjee | Asit Kumar Sen | Shubha Khote | Birbal | Dinesh Hingoo,22 March 1985 (India),6.5,Raja (Khanna) discovers that his face is similar to that of Dr. Shekhar  one of the top earning doctors of Bombay. He somehow manages to take his place  but discovers that even Dr. Shekhar has problems of his own.,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/HumDonafilm.png/220px-HumDonafilm.png,https://en.wikipedia.org/wiki/Hum_Dono_(1985_film)
Hum Naujawan,Drama | Thriller,Dev Anand | Bunty Behl | Richa Sharma | Anupam Kher | Zarina Wahab | Atlee Brar | Tabu | Shreeram Lagoo | Ramesh Deo | Leena Das | Pinchoo Kapoor | Bharat Kapoor | Dinesh Hingoo | Tabassum,18 November 1985 (India),5.2,A Proffessor searching for his missing daughter later he comes to know that she is not alive and he knows whp is responsible for that but doesnot have the evidence  later the culprit is caught red handed.,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Hum_Naujawan.jpg/220px-Hum_Naujawan.jpg,https://en.wikipedia.org/wiki/Hum_Naujawan
Jaan Ki Baazi,Action,Sanjay Dutt | Anita Raj | Anuradha Patel | Gulshan Grover | Shafi Inamdar | Dan Dhanoa | Goga Kapoor | Manik Irani | Swaroop Sampat | Rakesh Bedi,25 October 1985 (India),4.5,A girl is saved by a young man this experience brings them together. Their union faces obstacles in the future.,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/JaanKiBaazifilm.jpg/220px-JaanKiBaazifilm.jpg,https://en.wikipedia.org/wiki/Jaan_Ki_Baazi
Karishma Kudrat Kaa,Action | Drama,Rati Agnihotri | Urmila Bhatt | Mithun Chakraborty | Dharmendra | Deep Dhillon | Dinesh Hingoo | Saeed Jaffrey | Jankidas | Shakti Kapoor | Padma Khanna | Raj Kishore | Praveen Kumar | Lalita Kumari | Makarnai,1985 (India),6.3,Vijay is a simple-minded widower who lives in a small rural town in India with his unmarried sister  Radha; his son; and his widowed mom. Radha is soon to be married to Sub-Inspector Raj. ...                    ,https://upload.wikimedia.org/wikipedia/en/d/df/Karishma_Kudrat_Kaa.jpg,https://en.wikipedia.org/wiki/Karishma_Kudrat_Kaa
Maa Kasam (1985 film),Action,Mithun Chakraborty | Divya Rana | Ranjeet | Amjad Khan | Pran | Sushma Seth | Sharat Saxena | Surendra Pal | Ram Mohan | Manik Irani | Shalu | Viju Khote | Sunder | Birbal,26 November 1985 (India),4.5,Balwant is a ex-convict and former jailbird. He returns home after completing his sentence  and finds out that the wealthy Thakur has a treasure stashed away nearby with a map enclosed in a...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Maa_Kasam_%281985%29.jpg/220px-Maa_Kasam_%281985%29.jpg,https://en.wikipedia.org/wiki/Maa_Kasam_(1985_film)
Mard (1985 film),Action | Drama | Romance,Amitabh Bachchan | Amrita Singh | Nirupa Roy | Dara Singh | Prem Chopra | Goga Kapoor | Kamal Kapoor | Bob Christo | Manik Irani | Satyendra Kapoor | Seema Deo | Helena | Moti | Dan Dhanoa,8 November 1985 (India),6.1,British intelligence comes over to India and loot all its wealth and carry it over to there country. Once they were being challenge by a brave king name Raja Azaad Singh  one day he happen ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Mard_1985_film.jpg/220px-Mard_1985_film.jpg,https://en.wikipedia.org/wiki/Mard_(1985_film)
Mahaguru (1985 film),Action | Comedy | Crime,Gulshan Grover | Shafi Inamdar | Jeetendra | Kader Khan | Shubha Khote | Raj Kishore | Rajinikanth | Rakesh Roshan | Nirupa Roy | Meenakshi Sheshadri,26 April 1985 (India),5.3,Naag Raj Darbari and his associate Shyam Kumar Talwari rule over a small community in India with an iron hand. When former military officer  Subhash  comes home to his mother and sister  he...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Mahaguru_%281985_film%29.jpg/220px-Mahaguru_%281985_film%29.jpg,https://en.wikipedia.org/wiki/Mahaguru_(1985_film)
Karm Yudh,Action,Mithun Chakraborty | Anita Raj | Pran | Amrish Puri | Parveen Babi | Asha Sachdev | Bharat Kapoor | Tej Sapru | Dheeraj Kumar | Ashalata Wabgaonkar | Sudhir Dalvi | Rabia Amin | Kumud Chuggani,1 January 1985 (India),4.6,Geeta is proud of her police inspector husband  Ashwini  who is honest and diligent. But that pride soon turns to sorrow  as he is shot and killed right outside their doorstep. Devastated ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Karm_Yudh_%281985%29.jpg/220px-Karm_Yudh_%281985%29.jpg,https://en.wikipedia.org/wiki/Karm_Yudh
Massey Sahib,Drama,Raghuvir Yadav | Barry John | Arundhati Roy | Virendra Saxena | Jacqueline Garewal | Madan Lal | Sudhir Kulkarni | Francis King | James Ure | Lalu Ram,29 April 1987 (Denmark),7.5,In a small  tribal district town of Central India in 1929  Francis Massey is the 'English Type Babu' at the Deputy Commissioner's office. Massey believes that because he is Christian and ...                    ,https://upload.wikimedia.org/wikipedia/en/8/8d/Massey_Sahib_DVD_cover.jpg,https://en.wikipedia.org/wiki/Massey_Sahib
Meri Jung,Drama,Anil Kapoor | Girish Karnad | Nutan | Amrish Puri | Meenakshi Sheshadri | Kushboo,11 August 1985 (India),7.3,Two top lawyers battle against each other while the whole city witnesses the battle.,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Meri_Jung%2C_1985_Hindi_film.jpg/220px-Meri_Jung%2C_1985_Hindi_film.jpg,https://en.wikipedia.org/wiki/Meri_Jung
Pataal Bhairavi,Drama | Fantasy,Jeetendra | Jaya Prada | Pran | Amjad Khan | Kader Khan | Asrani | Shakti Kapoor | Bindu | Nirupa Roy | Dimple Kapadia | Viju Khote | Prema Narayan | Silk Smitha | Shoma Anand,3 May 1985 (India),5.7,Ujjain's Raja Vijay Singh presides over his region and rules it with his Maharani Swarnapati  and daughter Rajkumari Indumati. During the annual arena games a challenger by the name of ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Pataal_Bhairavi_poster.jpg/220px-Pataal_Bhairavi_poster.jpg,https://en.wikipedia.org/wiki/Pataal_Bhairavi
Pyar Jhukta Nahin,Family | Romance,Mithun Chakraborty | Padmini Kolhapure | Danny Denzongpa | Bindu | Master Vicky | Madhu Malini | Sudha Chopra | Vikas Anand | R. Sharda | Seema Deo | Ratna Bhooshan | Chaman Puri | Darshan | Sarita Devi,11 January 1985 (India),6.3,Ajay Khanna works as a Photographer and Jounralist earning Rs.850/- per month. He meets with wealthy Preeti B. Pratap  rescues her from goons  they become friendly and fall in love with ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Pyaar_Jhukta_Nahin.jpg/220px-Pyaar_Jhukta_Nahin.jpg,https://en.wikipedia.org/wiki/Pyar_Jhukta_Nahin
Pyari Behna,Action | Comedy | Drama,Mithun Chakraborty | Padmini Kolhapure | Tanvi Azmi | Vinod Mehra | Deven Verma | Shakti Kapoor,12 July 1985 (India),6.7,Kaali lives a middle class and common-man life with his sister Seeta in a shanty house. He works at a small train station nearby with an Engineer called Vinay. Kaali is the eldest in his ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Pyari_Behna.jpg/220px-Pyari_Behna.jpg,https://en.wikipedia.org/wiki/Pyari_Behna
Ram Teri Ganga Maili,Drama | Musical | Romance,Rajiv Kapoor | Mandakini | Divya Rana | Saeed Jaffrey | Kulbhushan Kharbanda | Raza Murad | Sushma Seth | Trilok Kapoor | Krishan Dhawan | Vishwa Mehra | Urmila Bhatt | Gita Siddharth | A.K. Hangal | Gautam Sarin,25 July 1985 (India),6.7,Ganga Singh lives near Gangotri with her brother  Karam. One day she comes to the assistance of a young man  Narendra Sahay  who has come with a group of Calcutta-based college students to ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Ram_Teri_Ganga_Maili.jpg/220px-Ram_Teri_Ganga_Maili.jpg,https://en.wikipedia.org/wiki/Ram_Teri_Ganga_Maili
Masterji,Comedy | Drama,Rajesh Khanna | Sridevi | Anita Raj | Kader Khan | Shakti Kapoor | Aruna Irani | Asrani | Shyama | Om Shivpuri | Jayshree Gadkar,31 May 1985 (India),6.6,Percocious village belle  Radha  the daughter of Mukhiya Jamnadas  takes a liking to the widowed school-master  Masterji  the father of a toddler; when he spurns her  she publicly accuses ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Masterjifilm.jpg/220px-Masterjifilm.jpg,https://en.wikipedia.org/wiki/Masterji
Saagar (film),Drama | Romance,Rishi Kapoor | Kamal Haasan | Dimple Kapadia | Nadira | Saeed Jaffrey | Madhur Jaffrey | A.K. Hangal | Shafi Inamdar | Sudhir Pandey | Satish Kaushik | Kiran Vairale | Lilliput | Goga Kapoor | Sharat Saxena,9 August 1985 (India),7.1,Raja  a fisherman is secretly in love with Mona. When wealthy Ravi comes to live with his grandmother  Kamladevi  he sees Mona and falls in love with her. Mona also reciprocates his love. ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Saagar_%281985_film%29_poster.jpg/220px-Saagar_%281985_film%29_poster.jpg,https://en.wikipedia.org/wiki/Saagar_(film)
Saaheb,Drama,Rakhee Gulzar | Anil Kapoor | Amrita Singh | Utpal Dutt | Deven Verma | Biswajit Chatterjee | Vijay Arora | A.K. Hangal | Pinchoo Kapoor | Dilip Dhawan | Satyendra Kapoor | Suresh Chatwal | Rajni Bala | Nandita Thakur,31 January 1985 (India),7.2,Retired Badri Prasad Sharma lives with his sons and their family.His younger son Saheb and daughter Gulti are the only one not married.Saheb is a Goal Keeper and football is his passion.But...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Saaheb_poster.jpg/220px-Saaheb_poster.jpg,https://en.wikipedia.org/wiki/Saaheb
Sarfarosh (1985 film),Drama,Asrani | Bharat Bhushan | Bindu | Leena Chandavarkar | Prem Chopra | Bob Christo | Leena Das | Jeetendra | Satyendra Kapoor | Kader Khan | Shreeram Lagoo | Pran | Ranjeet | Nirupa Roy,2 March 1985 (India),5.4,Wrongly imprisoned and seeking vengeance against his oppressors  a man must face-off against his own son.,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Sarfarosh_%281985_film%29.jpg/220px-Sarfarosh_%281985_film%29.jpg,https://en.wikipedia.org/wiki/Sarfarosh_(1985_film)
Sanjog (1985 film),Drama,Jeetendra | Jaya Prada | Vinod Mehra | Aruna Irani | Asrani | Arvind Deshpande | Agha | Mini Tabassum | Bharti Achrekar | Yunus Parvez | Goga Kapoor,22 November 1985 (India),6.9,Bombay-bred Narain goes to a village  where he meets and falls in love with a village belle  Yashodra. She also is attracted to him  and both get married. After their marriage  both go to ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Sanjog_%281985_film%29.jpg/220px-Sanjog_%281985_film%29.jpg,https://en.wikipedia.org/wiki/Sanjog_(1985_film)
Shiva Ka Insaaf,Action | Adventure | Fantasy,Jackie Shroff | Poonam Dhillon | Vinod Mehra | Mazhar Khan | Parikshat Sahni | Shakti Kapoor | Gulshan Grover | Satish Kaul | Nandita Thakur,1985 (India),4.6,A child is raised by his father's friends  who teach him the art of combat. They also provide him with supernatural weapons to help him to avenge his parents' death.,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/ShivaKaInsaaf.jpg/220px-ShivaKaInsaaf.jpg,https://en.wikipedia.org/wiki/Shiva_Ka_Insaaf
Tawaif (film),Comedy | Drama | Romance,Ashok Kumar | Rishi Kapoor | Rati Agnihotri | Poonam Dhillon | Deepak Parashar | Asrani | Sushma Seth | Shammi | Yunus Parvez | Achala Nagar | Sunita Singh | Iftekhar | Ashalata Wabgaonkar | Ashok Sharma,22 March 1985 (India),7.0,A Tawaif (courtesan) accidentally comes to the house of a humble person and lives among the society without revealing about her true profession. She falls in love with the person and the ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Tawaif_poster.jpg/220px-Tawaif_poster.jpg,https://en.wikipedia.org/wiki/Tawaif_(film)
Ram Tere Kitne Naam,Drama,Sanjeev Kumar | Rekha | Prem Chopra | Lalita Pawar | Narendra Nath | Sudhir | Yunus Parvez | T.P. Jain | Jagdish Raj | Raj Tilak | Chandrashekhar | Kirti Kumar | Ranvir Raj | Amarnath Mukherjee,15 February 1985 (India),5.9,Peturam is an overweight  albeit sensitive young man  who is head over heels in love with beautiful Radha  the sister of Tej Singh  and would like to marry her. When he proposes to marry ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Ram_Tere_Kitne_Nam.jpg/220px-Ram_Tere_Kitne_Nam.jpg,https://en.wikipedia.org/wiki/Ram_Tere_Kitne_Naam
Trikal,Drama,Leela Naidu | Neena Gupta | Anita Kanwar | Soni Razdan | Dalip Tahil | K.K. Raina | Kunal Kapoor | Keith Stevenson | Salim Ghouse | Ila Arun | Jayant Kripalani | Akash Khurana | Lucky Ali | Sushma Prakash,30 August 1985 (India),7.1,Set in 1961 Goa  this is a story of a rich and influential Goan family and what happens to them over a period of time. The movie is narrated in past-tense by one of the friends of the ...                    ,https://upload.wikimedia.org/wikipedia/en/f/f2/Trikal_%28Past%2C_Present%2C_Future%29%2C_1985.jpg,https://en.wikipedia.org/wiki/Trikal
Teri Meherbaniyan,Action | Crime | Drama,Jackie Shroff | Poonam Dhillon | Raj Kiran | Swapna | Asrani | Satyendra Kapoor | Sadashiv Amrapurkar | Amrish Puri | Master Vicky | Vikas Anand | Naval Kumar | Radheshyam | Bharat Bhushan Bhatt | Ashok Saxena,1 October 1985 (India),5.5,Ram (Jackie shroff) is an honest young man  who comes to the village of the powerful and corrupt Thakur Vijay Singh (Amrish Puri). On the way his vehicle breaks down and he meets with ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Teri_Meherbaniyan.jpg/220px-Teri_Meherbaniyan.jpg,https://en.wikipedia.org/wiki/Teri_Meherbaniyan
Yaadon Ki Kasam,Action,Mithun Chakraborty | Zeenat Aman | Shakti Kapoor | Asrani | Madan Puri | Sudhir Dalvi | Ashalata Wabgaonkar | Yunus Parvez | Viju Khote | Yasmin | Nitin Sethi | Nadeem Baig | Nellu Arora | Dinkar Chowdhry,17 May 1985 (India),5.8,While patrolling his father's estate  Ravi Kapoor (Mithun Chakraborty) comes across a beautiful girl  Chandni (Zeenat Aman) taking a swim in a nearby lake. He is attracted to her  despite ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Yaadon-ki-kasam.jpg/220px-Yaadon-ki-kasam.jpg,https://en.wikipedia.org/wiki/Yaadon_Ki_Kasam
