title,genres,actors,imdb_rating,year_of_release
Jaaydaad,crime|drama,shashi kapoor|raj babbar|madhavi|anupam kher|krishna chauhan|nivedita joshi saraf|aruna irani|satyendra kapoor|mac mohan|sudhir dalvi|paintal|suhas joshi|bharat kapoor|gurbachan singh|,4.3,1989
Jaisi Karni Waisi Bharnii,comedy|drama,govinda|kimi katkar|kader khan|asrani|shakti kapoor|gulshan grover|shoma anand|mehmood jr.|paintal|rajesh puri|,5.6,1989
Kanoon Apna Apna,action|crime|drama,dilip kumar|nutan|sanjay dutt|madhuri dixit|kader khan|anupam kher|gulshan grover|tej sapru|mayur verma|satyendra kapoor|raza murad|jayshree gadkar|pinky|meethy|,5.4,1989
Khayal Gatha,drama,mangal dhillon|rajat kapoor|,6.2,1989
Kala Bazaar,action|drama,anil kapoor|jackie shroff|farha naaz|kimi katkar|kader khan|raza murad|kiran kumar|shafi inamdar|johnny lever|shreeram lagoo|anjana mumtaz|sudhir joshi|,5.5,1989
Jung Baaz,action|crime,govinda|danny denzongpa|prem chopra|shakti kapoor|gulshan grover|raaj kumar|mandakini|moushumi chatterjee|,5.7,1989
Ladaai,action|crime|drama,rekha|mithun chakraborty|dimple kapadia|aditya pancholi|anupam kher|mandakini|satish shah|amrit pal|gulshan grover|archana puran singh|rohini hattangadi|baby guddu|deep dhillon|raj tilak|,6.4,1989
Lashkar (film),action|crime|drama,dev anand|javed jaffrey|hemant birje|aditya pancholi|sumeet saigal|kiran kumar|sonam|,6.0,1989
Mahaadev,action|drama,vinod khanna|meenakshi sheshadri|raj babbar|anupam kher|satish shah|kiran kumar|shakti kapoor|tej sapru|sharat saxena|anjan srivastav|sonu walia|ram mohan|mahesh anand|ashalata wabgaonkar|,5.7,1989
Love Love Love (1989 film),drama|romance,aamir khan|juhi chawla|gulshan grover|dalip tahil|om shivpuri|sarla yeolekar|anand balraj|jaya mathur|chandrashekhar|shashi kiran|akbar|baby guddu|raza murad|ved thappar|,5.7,1989
Main Azaad Hoon,drama,amitabh bachchan|shabana azmi|,7.3,1989
Main Tera Dushman,action|adventure|crime,jackie shroff|jaya prada|sunny deol|sridevi|rajesh khanna|kiran kumar|mac mohan|rajendra nath|kulbhushan kharbanda|anupam kher|viju khote|jagdeep|birbal|,5.2,1989
Nigahen: Nagina Part II,drama|family|fantasy,sunny deol|sridevi|anupam kher|gulshan grover|aruna irani|anjana mumtaz|jagdeep|dev sharma|deepak ghatak|shabana|vidya shenoy|sheetal|ratna|yasmin|,5.2,1989
Mujrim,action|crime,mithun chakraborty|madhuri dixit|suresh oberoi|shakti kapoor|pallavi joshi|gulshan grover|amrish puri|nutan|jagdeep|sharat saxena|roopesh kumar|guddi maruti|tej sapru|mahesh anand|,5.6,1989
Main Tere Liye,drama|romance,suneil anand|meenakshi sheshadri|rajendra kumar|om shivpuri|puneet issar|shashikala|gulshan grover|,6.6,1988
Paraya Ghar,drama|family,rishi kapoor|jaya prada|aruna irani|madhavi|kader khan|tanuja|sachin|,5.7,1989
Prem Pratigyaa,drama|romance,mithun chakraborty|madhuri dixit|vinod mehra|ranjeet|nilu phule|satish kaushik|gulnar irani|deven verma|kamaldeep|darshan|manmauji|akbar bakshi|bihari|jamuna|,5.9,1989
Purani Haveli (film),horror,deepak parashar|amita nangia|shubha|tej sapru|sikander khan|priti sapru|anil dhawan|shehzad khan|narendra nath|neelam mehra|vijay arora|pinchoo kapoor|bhushan tiwari|leela mishra|,5.2,1989
Sachai Ki Taqat,action|drama,bob christo|dharmendra|govinda|shakti kapoor|anupam kher|ashok kumar|om shivpuri|amrita singh|,5.0,1989
Sachché Ká Bol-Bálá,action|adventure,dev anand|jackie shroff|meenakshi sheshadri|swapna|prem chopra|gulshan grover|dalip tahil|sadashiv amrapurkar|satish shah|marc zuber|asha sharma|dan dhanoa|jagdeep|dinesh hingoo|,5.7,1989
Shehzaade,action,dharmendra|shatrughan sinha|,5.0,1989
Sikka (film),action|drama,mahesh anand|asrani|brahmachari|moushumi chatterjee|prem chopra|dharmendra|aruna irani|dimple kapadia|bharat kapoor|kader khan|amrit pal|yunus parvez|sumeet saigal|,5.0,1989
Suryaa: An Awakening,action|drama,raaj kumar|vinod khanna|raj babbar|bhanupriya|amrish puri|shakti kapoor|sushma seth|alok nath|salim ghouse|,6.7,1989
Toofan (1989 film),action|crime,amitabh bachchan|meenakshi sheshadri|amrita singh|farooq shaikh|kamal kapoor|goga kapoor|zarina wahab|sushma seth|raza murad|mahesh anand|jack gaud|pran|master makrand|master amit shukla|,4.8,1989
Parinda,action|crime|drama,jackie shroff|anil kapoor|nana patekar|madhuri dixit|anupam kher|suresh oberoi|tom alter|anang desai|kamal chopra|sameer|hitesh|mohan|shweta|jatin|,7.9,1989
Raakh,action|crime|drama,aamir khan|supriya pathak|pankaj kapur|jagdeep|naina balsaver|,7.6,1989
Ustaad (1989 film),drama,vinod khanna|asha parekh|jaya prada|danny denzongpa|kimi katkar|chunky pandey|shakti kapoor|rajan haksar|manik irani|shammi|,6.0,1989
Vardi (film),action|crime|drama,sunny deol|jackie shroff|kimi katkar|madhuri dixit|vinod mehra|raza murad|anjana mumtaz|shafi inamdar|paresh rawal|kader khan|satish kaushik|dharmendra|,4.6,1989
Vicky Daada,action|crime,nagarjuna akkineni|juhi chawla|radha|,7.4,1989
Aaj Ka Robin Hood,drama,anil chatterjee|utpal dutt|rabi ghosh|nana patekar|master ravi|satish shah|,6.8,1988
Aage Ki Soch,comedy,shakti kapoor|huma khan|dada kondke|raza murad|satish shah|swapna|,4.9,1988
Aakhri Adaalat,action|thriller,vinod khanna|dimple kapadia|jackie shroff|sonam|vinod mehra|gulshan grover|paresh rawal|a.k. hangal|shafi inamdar|roopesh kumar|sharat saxena|sushma seth|mahavir shah|anjan srivastav|,5.3,1988
Agnee (1988 film),action|drama|romance,mithun chakraborty|chunky pandey|amrita singh|mandakini|anupam kher|alok nath|kiran kumar|tanuja|asrani|shafi inamdar|anjana mumtaz|satyendra kapoor|rajesh puri|sudhir dalvi|,5.2,1988
Akarshan,romance,akbar khan|sonu walia|girish karnad|rohini hattangadi|sharon prabhakar|suparna anand|deepak qazir|parveen babi|smita patil|raj babbar|,5.7,1988
Andha Yudh,drama|thriller,raj babbar|vyjayanti chavan|vaishali dandekar|rohini hattangadi|anant jog|pallavi joshi|master kaushal|pramila mathur|sanjay narvekar|sudhir pandey|nana patekar|divya rana|kirti rawal|shivaji satam|,7.3,1987
Aaj Ke Angaare,action|drama,hemant birje|raja duggal|gorilla|rohini hattangadi|kalpana kalantri|ahmed khan|nagina khan|shashi kiran|jaya mathur|raza murad|neeta puri|k.k. raj|vinod raut|om shivpuri|,5.3,1988
Aurat Teri Yehi Kahani,drama,shoma anand|vikas anand|raj babbar|mohan choti|c.s. dubey|dinesh hingoo|aruna irani|jankidas|kader khan|raj kiran|shreeram lagoo|yunus parvez|nilu phule|pran|,4.3,1988
Charnon Ki Saugandh,action|drama|family,asrani|mithun chakraborty|prem chopra|satyendra kapoor|shakti kapoor|kader khan|raj kiran|shreeram lagoo|rameshwari|nirupa roy|sushma seth|,5.6,1988
Bees Saal Baad (1988 film),horror|mystery,mithun chakraborty|dimple kapadia|meenakshi sheshadri|om prakash|shiva rindani|anupam kher|shakti kapoor|amjad khan|jagdeep|aruna irani|vinod mehra|,5.1,1989
Biwi Ho To Aisi,comedy|drama,rekha|farooq shaikh|bindu|asrani|kader khan|satyendra kapoor|kamna|salman khan|ruchi|rajkumar|sandeep solanki|raja duggal|master bhagwan|lalita kumari|,5.9,1988
Daisy (1988 film),drama,harish|sonia|laxmi|kamal haasan|,7.2,1988
Commando (1988 film),action|drama|romance,mithun chakraborty|mandakini|hemant birje|kim|danny denzongpa|shakti kapoor|amrish puri|asrani|satish shah|om shivpuri|dalip tahil|mac mohan|sarla yeolekar|praveen kumar|,4.3,1988
Dariya Dil,drama|family,govinda|kimi katkar|roshni|raj kiran|shoma anand|asrani|gulshan grover|seema deo|shashi puri|shakti kapoor|kader khan|renu joshi|ashok saxena|farita boyce|,4.9,1988
Dayavan,action|crime|drama,vinod khanna|feroz khan|amala akkineni|amrish puri|anupam kher|aruna irani|madhuri dixit|imtiaz khan|alok nath|aditya pancholi|sudhir pandey|mahavir shah|anjan srivastav|jainendra|,6.6,1988
Dharamyudh,drama|mystery|thriller,sunil dutt|shatrughan sinha|kimi katkar|aditya pancholi|sunil dhawan|,5.7,1988
Do Waqt Ki Roti,action,feroz khan|sanjeev kumar|reena roy|sulakshana pandit|amjad khan|nirupa roy|,6.7,1988
Ek Hi Maqsad,action|drama|thriller,raj kiran|om puri|divya rana|satish shah|rakesh bedi|danny denzongpa|kim|rita rani kaul|sarwar|bharat bhushan|sulabha arya|bansal|neena vij|bhupendra sood|,5.1,1988
Ek Naya Rishta,family,rekha|raj kiran|mazhar khan|om shivpuri|nitin sethi|urmila bhatt|helena luke|yunus parvez|pooja saxena|vinod pande|rabia amin|asha sharma|raj kishore|surendra pal|,6.9,1988
Halaal Ki Kamai,family,govinda|farha naaz|sonika gill|shakti kapoor|raza murad|gulshan grover|om prakash|jugnu|,4.6,1988
Ganga Tere Desh Mein,action,dharmendra|jaya prada|shatrughan sinha|dimple kapadia|,5.2,1988
Gangaa Jamunaa Saraswati,action|drama|romance,amitabh bachchan|mithun chakraborty|jaya prada|meenakshi sheshadri|nirupa roy|,4.7,1988
Ghar Ghar Ki Kahani (1988 film),comedy|drama,govinda|farha naaz|rishi kapoor|kader khan|jaya prada|ashok saraf|aruna irani|,5.0,1988
Ghar Mein Ram Gali Mein Shyam,action|comedy|drama,beena banerjee|rita bhaduri|govinda|anupam kher|neelam kothari|kirti kumar|kushboo|johnny lever|nivedita joshi saraf|,5.2,1988
Gunahon Ka Faisla,action,shatrughan sinha|dimple kapadia|chunky pandey|pran|prem chopra|danny denzongpa|gulshan grover|ranjeet|annu kapoor|anjana mumtaz|,6.2,1988
Faisla,action|crime|mystery,ashok kumar|vinod khanna|saira banu|,6.3,1988
Hatya,action|crime|drama,govinda|neelam kothari|raj kiran|anupam kher|bob anthony|sujitha|om shivpuri|satyendra kapoor|satish kaul|rakesh bedi|johnny lever|gauri shanker|vikas anand|yasmin khan|,7.0,1988
Hum Farishte Nahin,action|thriller,raj babbar|om puri|deepak seth|poonam dhillon|kulbhushan kharbanda|sushma seth|huma khan|anjan srivastav|bharat kapoor|javed khan|avtar gill|shiva rindani|jagdarshan|shikooh|,5.1,1988
Inteqam,drama,sunny deol|anil kapoor|kimi katkar|meenakshi sheshadri|,5.5,1988
Jeete Hain Shaan Se,action|drama,mithun chakraborty|sanjay dutt|govinda|mandakini|vijayata pandit|danny denzongpa|paintal|narendra nath|tiwari|monty nath|sudhir|rajeev|satyendra kapoor|ashalata wabgaonkar|,4.8,1988
Jungle Ki Beti,adventure,salma agha|arjun|brando bakshi|rakesh bedi|mohan choti|kalpana iyer|goga kapoor|,3.8,1988
Kab Tak Chup Rahungi,drama,amala akkineni|vikas anand|darshan|urvashi dholakia|aruna irani|gulnar irani|saeed jaffrey|satyendra kapoor|kader khan|kiran kumar|mukri|rajendra nath|,5.9,1988
Kabrastan,horror,hemant birje|kamna|javed khan|kunickaa sadanand|raza murad|daljit kaur|jagdeep|huma khan|amjad khan|satish kaul|ram mohan|rana jung bahadur|ved goswami|birbal|,3.5,1988
Kanwarlal,drama,salma agha|arjun|raj babbar|birbal|rajan haksar|jankidas|jeetendra|pinchoo kapoor|amjad khan|viju khote|manmohan krishna|sujata mehta|tej sapru|,4.9,1988
Kabzaa,action|crime|drama,raj babbar|sanjay dutt|amrita singh|alok nath|paresh rawal|nilu phule|mahesh anand|mushtaq khan|kamal chopra|anupam kher|dimple kapadia|akash khurana|tiku talsania|disco shanti|,6.2,1988
Khoon Bhari Maang,action|drama|thriller,rekha|kabir bedi|sonu walia|kader khan|a.k. hangal|paidi jairaj|sulochana latkar|sulabha deshpande|vikas anand|mangal dhillon|satyajeet|tom alter|farita boyce|master gaurav|,6.6,1988
Khatron Ke Khiladi (1988 film),action|drama,dharmendra|sanjay dutt|chunky pandey|madhuri dixit|neelam kothari|anjana mumtaz|sushma ahuja|anita|shakti kapoor|shafi inamdar|sadashiv amrapurkar|paresh rawal|om shivpuri|satyendra kapoor|,4.7,1988
Libaas,drama,shabana azmi|utpal dutt|,8.2,1988
Maalamaal,comedy,naseeruddin shah|poonam dhillon|mandakini|aditya pancholi|satish shah|dalip tahil|amjad khan|vishal dutt|sania|pradeep chaudhry|leena das|sunil gavaskar|harindranath chattopadhyay|praveen kumar|,6.9,1988
Mahaveera (film),action,krishna a.r.|salma agha|raj babbar|beena banerjee|prem chopra|dharmendra|utpal dutt|dimple kapadia|raaj kumar|vinod mehra|mac mohan|raza murad|anita raj|dara singh|,5.3,1988
Main Zinda Hoon,drama,suresh bhagwat|rajendra gupta|ali haider|sarita joshi|pankaj kapur|kulbhushan kharbanda|sushmita mukherjee|alok nath|deepti naval|deepak qazir|,7.6,1988
Mar Mitenge,action,jeetendra|mithun chakraborty|madhavi|bhanupriya|shakti kapoor|amrish puri|asrani|vinod mehra|kader khan|satyendra kapoor|jayshree gadkar|chand usmani|yunus parvez|viju khote|,4.9,1988
Mardon Wali Baat,action|adventure|comedy,dharmendra|sanjay dutt|shabana azmi|jaya prada|danny denzongpa|,5.2,1988
Mohabbat Ke Dushman,action|thriller,raaj kumar|hema malini|sanjay dutt|farha naaz|pran|amrish puri|om prakash|suresh oberoi|satyendra kapoor|dina pathak|alka noopur|vijayendra ghatge|vikas anand|sudhir|,5.2,1988
Mohre,drama|mystery,nana patekar|madhuri dixit|,5.4,1987
Mulzim,drama,jeetendra|hema malini|shatrughan sinha|,5.1,1988
Namumkin,drama|mystery,raj babbar|vinod mehra|zeenat aman|sanjeev kumar|om shivpuri|shreeram lagoo|jaywant pathare|amritanshu jha|vikas khanna|adharsh sharma|waris shere|nasser shaboo|jeet saxena|frank marino|,6.6,1988
Paanch Fauladi,action|drama,salma agha|raj babbar|birbal|hemant birje|bob christo|seema deo|sonika gill|satish kaul|amjad khan|huma khan|javed khan|ram mohan|moolchand|raza murad|,4.5,1988
Om-Dar-B-Dar,drama,gopi desai|manish gupta|anita kanwar|aditya lakhia|lakshminarayan shastri|,7.3,1988
Paap Ki Duniya,action,sunny deol|neelam kothari|pran|danny denzongpa|chunky pandey|mac mohan|shakti kapoor|rubina|manmauji|,5.7,1988
