title,genres,actors,imdb_rating,year_of_release
Bombay 405 Miles,action|comedy,zeenat aman|vinod khanna|shatrughan sinha|amjad khan|pran|deven verma|,7.0,1980
Chambal Ki Kasam,action|crime,pradeep kumar|raaj kumar|shatrughan sinha|moushumi chatterjee|farida jalal|usha kiran|amjad khan|master bhagwan|ranjeet|nirupa roy|tiwari|jagdish raj|nasir hussain|mohan sherry|,5.3,1980
Choron Ki Baaraat,action,shatrughan sinha|neetu singh|ajit|danny denzongpa|jeevan|ranjeet|jagdeep|prema narayan|heena kausar|,7.4,1980
Chunaoti,action|thriller,feroz khan|neetu singh|danny denzongpa|padma khanna|satyendra kapoor|kumud chuggani|paidi jairaj|mumtaz begum|mohan choti|kamal kapoor|anjana mumtaz|asha potdar|sujata bakshi|maruti|,5.3,1980
Dhan Daulat,drama,rishi kapoor|neetu singh|pran|mala sinha|,5.8,1980
Do Aur Do Paanch,action|comedy|drama,shashi kapoor|amitabh bachchan|hema malini|parveen babi|shreeram lagoo|sajjan|master bittoo|lalita pawar|aarti|om prakash|jagdeep|ram p. sethi|jagdish raj|mohan sherry|,7.0,1980
Do Premee,action|thriller,rishi kapoor|moushumi chatterjee|om prakash|i.s. johar|deven verma|geeta behl|roopesh kumar|gautam sarin|master bhagwan|aruna irani|k.n. singh|trilok kapoor|c.s. dubey|nawab|,5.7,1980
Dostana (1980 film),action|crime|drama,amitabh bachchan|shatrughan sinha|zeenat aman|prem chopra|amrish puri|helen|pran|gajanan jagirdar|sajjan|iftekhar|k.n. singh|trilok kapoor|abhimanyu sharma|col. kapoor|,6.7,1980
Ek Baar Kaho,drama|family|romance,navin nischol|shabana azmi|dilip dhawan|kiran vairale|anil kapoor|madan puri|rajendra nath|suresh oberoi|,6.9,1980
Gehrayee,drama|horror,shreeram lagoo|anant nag|indrani mukherjee|padmini kolhapure|rita bhaduri|amrish puri|sudhir dalvi|suhas bhalekar|shubha joshi|satyendran|satyakumar patil|somu|rao|shetty|,6.8,1980
Garam Khoon,action,ajit|bindu|brahmachari|dhumal|rajan haksar|helen|nasir hussain|satish kaul|imtiaz khan|vinod khanna|sulochana latkar|keshto mukherjee|sulakshana pandit|harbans papey|,5.8,1980
Guest House (1980 film),horror,prem krishan|padmini kapila|,6.3,1980
Hum Paanch (film),action|drama,sanjeev kumar|shabana azmi|mithun chakraborty|deepti naval|naseeruddin shah|raj babbar|uday chandra|gulshan grover|amrish puri|aruna irani|roopesh kumar|gita siddharth|a.k. hangal|kanhaiyalal chaturvedi|,6.5,1980
Jal Mahal (film),fantasy,jeetendra|rekha|deven verma|rajesh behl|pran|manmohan krishna|jagdeep|chand usmani|jayshree t.|sunder|rana|jankidas|brahm bhardwaj|manmauji|,5.9,1980
Insaf Ka Tarazu,crime|drama,zeenat aman|raj babbar|deepak parashar|padmini kolhapure|shreeram lagoo|iftekhar|simi garewal|jagdish raj|vijay sharma|sunil dhawan|prem sagar|om shivpuri|sudha shivpuri|sujit kumar|,6.5,1980
Jazbaat (1980 film),drama,raj babbar|savita bajaj|master bhagwan|shail chaturvedi|dinesh hingoo|t.p. jain|paidi jairaj|jankidas|viju khote|leela mishra|moolchand|rajendra nath|shashi puri|subbiraj|,4.2,1980
Judaai (1980 film),drama|family,ashok kumar|jeetendra|rekha|sachin|arun govil|a.k. hangal|asit kumar sen|madhukar|deven verma|madan puri|asha sachdev|shoma anand|tamanna|helena luke|,6.1,1980
Jwalamukhi (1980 film),action|drama|family,waheeda rehman|shatrughan sinha|reena roy|vinod mehra|shabana azmi|kader khan|pran|bindu|shreeram lagoo|ram p. sethi|shivraj|yunus parvez|asha chandra|mumtaz begum|,5.9,1980
Karz (film),action|musical|romance,rishi kapoor|tina ambani|simi garewal|raj kiran|prem nath|pran|durga khote|abha dhulia|jalal agha|pinchoo kapoor|iftekhar|birbal|viju khote|mac mohan|,7.5,1980
Kali Ghata (1980 film),mystery|romance|thriller,shashi kapoor|rekha|danny denzongpa|aruna irani|lalita pawar|a.k. hangal|jagdeep|,6.0,1980
Jyoti Bane Jwala,action|drama|family,jeetendra|vinod mehra|ashok kumar|waheeda rehman|moushumi chatterjee|sarika|kader khan|iftekhar|satyendra kapoor|paidi jairaj|pandharibai|,5.0,1980
Khanjar (1980 film),thriller,navin nischol|reena roy|amjad khan|,5.8,1980
Khubsoorat,comedy|drama|family,ashok kumar|rekha|rakesh roshan|shashikala|aradhana|dina pathak|david abraham|s.n. banerjee|keshto mukherjee|amarnath|vijay sharma|ranjit chowdhry|anand|baby komal|,7.7,1980
Neeyat (film),drama|family,shashi kapoor|jeetendra|rekha|rakesh roshan|ranjeet|bindu|shreeram lagoo|gita siddharth|deven verma|a.k. hangal|anoop kumar|,5.5,1980
Lootmaar,action|thriller,dev anand|tina ambani|mehmood|nirupa roy|amjad khan|prem chopra|kader khan|ranjeet|shakti kapoor|simple kapadia|shreeram lagoo|om shivpuri|sudhir dalvi|kalpana iyer|,6.4,1980
Man Pasand,comedy|drama,dev anand|tina ambani|girish karnad|mehmood|simple kapadia|leela mishra|tarun ghosh|piloo j. wadia|birbal|raj kishore|aroop kumar ganguly|sunder|taneja|s. chopra|,6.5,1980
Nishana (1980 film),action|drama,asrani|prem chopra|mohan choti|poonam dhillon|utpal dutt|jeetendra|pradeep kumar|shreeram lagoo|rajendra nath|,6.2,1980
Patita (1980 film),drama,shoma anand|vikram makandar|raj kiran|mithun chakraborty|shammi|ram p. sethi|raj mehra|mac mohan|c.s. dubey|birbal|ishaq|viju khote|madhup sharma|ramesh deo|,6.1,1980
Khwab,crime|drama|romance,yogeeta bali|birbal|mithun chakraborty|utpal dutt|tarun ghosh|ranjeeta kaur|ashok kumar|sujit kumar|subroto mahapatra|yunus parvez|chaman puri|madan puri|jagdish raj|naseeruddin shah|,6.1,1980
Kismet (1980 film),action|family|musical,mithun chakraborty|ranjeeta kaur|shakti kapoor|om shivpuri|urmila bhatt|t.p. jain|asha sharma|jalal agha|birbal|,4.4,1980
Pyaara Dushman,action,rakesh roshan|vidya sinha|yogeeta bali|sarika|kalpana iyer|amjad khan|master bhagwan|dev kumar|suresh oberoi|,4.6,1980
Payal Ki Jhankaar,romance,alankar joshi|roobini|surinder kaur|veena|,5.3,1980
Qurbani (film),action|crime|drama,feroz khan|vinod khanna|zeenat aman|amjad khan|kader khan|tun tun|aruna irani|amrish puri|shakti kapoor|natasha chopra|jagdeep|mac mohan|narendra nath|raj bharti|,7.0,1980
Phir Wahi Raat,crime|horror|mystery,rajesh khanna|kim|aruna irani|tamanna|shashikala|danny denzongpa|a.k. hangal|suresh oberoi|lalita pawar|om shivpuri|shubha khote|jagdeep|mukri|master bhagwan|,6.9,1980
Ram Balram,action|comedy|crime,zeenat aman|rekha|ajit|prem chopra|sujit kumar|amjad khan|helen|urmila bhatt|utpal dutt|ranjan|asit kumar sen|mohan sherry|madhup sharma|bharat kapoor|,6.3,1980
Red Rose (1980 film),crime|romance|thriller,rajesh khanna|poonam dhillon|aruna irani|om shivpuri|satyendra kapoor|roopesh kumar|shammi|keshto mukherjee|shashi kiran|ram p. sethi|mayur verma|ritu kamal|madhu patel|snehlata|,6.3,1980
Saboot,thriller,navin nischol|vidya sinha|kaajal kiran|om shivpuri|prem chopra|vinod mehra|padma khanna|rajendra nath|paintal|narendra nath|mohan sherry|sudhir dalvi|amar|roopesh kumar|,6.9,1980
Sitara (1980 film),drama|family,mithun chakraborty|zarina wahab|kanhaiyalal chaturvedi|agha|dinesh thakur|paintal|t.p. jain|mac mohan|,6.5,1980
Sparsh (film),drama|romance,shabana azmi|naseeruddin shah|sudha chopra|mohan gokhale|pran talwar|arun joglekar|om puri|lakshman tandon|tapan kumar nandi|arun sachdev|baladutt sharma|mukesh gautam|,8.1,1980
Shaan (film),action|adventure|crime,sunil dutt|shashi kapoor|amitabh bachchan|shatrughan sinha|rakhee gulzar|parveen babi|bindiya goswami|johnny walker|kulbhushan kharbanda|mazhar khan|helen|bindu|padmini kapila|,7.1,1980
Sau Din Saas Ke,drama,ashok kumar|raj babbar|reena roy|asha parekh|lalita pawar|manmohan krishna|guddi maruti|nilu phule|jayshree t.|deven verma|bela bose|,6.1,1980
The Burning Train,action|thriller,dharmendra|vinod khanna|jeetendra|vinod mehra|hema malini|parveen babi|simi garewal|navin nischol|danny denzongpa|neetu singh|sujit kumar|ranjeet|iftekhar|nasir hussain|,6.8,1980
Takkar (1980 film),drama,sanjeev kumar|jeetendra|zeenat aman|jaya prada|vinod mehra|bindiya goswami|ashok kumar|kamini kaushal|ranjeet|mac mohan|sujit kumar|jeevan|asrani|,5.5,1980
Taxi Chor,crime|thriller,indira bansal|master bhagwan|abhi bhattacharya|bharat bhushan|mithun chakraborty|chandrashekhar|dhumal|jagdeep|padma khanna|sulochana latkar|raj mehra|keshto mukherjee|mukri|murad|,5.6,1980
The Naxalites,drama,jalal agha|saleem christopher agha|shehnaz anand|tinnu anand|mithun chakraborty|kamlakar date|vishal deep|vikrant dutt|brij gopal|madan jain|bijaya jena|pinchoo kapoor|jawahar kaul|imtiaz khan|,6.6,1980
Thodisi Bewafaii,drama,rajesh khanna|shabana azmi|siddharth|padmini kolhapure|deven verma|shreeram lagoo|a.k. hangal|jalal agha|shashi kiran|raja bakshi|urmila bhatt|gayatri|gouri khurana|preeti ganguli|,6.7,1980
Unees-Bees,drama,yogeeta bali|rita bhaduri|urmila bhatt|bharat bhushan|mithun chakraborty|jeevan|ranjeeta kaur|kader khan|raj kishore|sujit kumar|raj mehra|ranjeet|rakesh roshan|ram p. sethi|,6.0,1980
Yari Dushmani,action|drama,sunil dutt|reena roy|amjad khan|daljit kaur|,4.8,1980
Aakhri Kasam,action|thriller,vinod mehra|yogeeta bali|kabir bedi|priyadarshini|,6.3,1979
Aatish (film),action,jeetendra|neetu singh|dheeraj kumar|sujit kumar|nirupa roy|mukri|madan puri|rinku|,4.1,1979
Ahinsa (1979 film),action|drama,sunil dutt|rekha|ranjeet|rajendra nath|prem nath|nirupa roy|asrani|paidi jairaj|master bhagwan|,3.8,1979
Ahsaas,drama|romance,shashi kapoor|simi garewal|rakesh bedi|chand usmani|amjad khan|bindu|simple kapadia|sunder|leela mishra|yunus parvez|dina pathak|kiran vairale|parvez|shammi kapoor|,5.5,1979
Amar Deep (1979 film),drama|romance,rajesh khanna|vinod mehra|shabana azmi|deven verma|roopesh kumar|bindu|ashok kumar|unni mary|mithun chakraborty|savitri|a.k. hangal|,6.8,1979
Aur Kaun?,horror,padmini kapila|roopesh kumar|madan puri|sachin|vimal sahu|ranjani sharma|,5.8,1979
Bagula Bhagat,action|thriller,ashok kumar|shatrughan sinha|shabana azmi|kamini kaushal|mehmood jr.|,6.6,1979
Baton Baton Mein,comedy|romance,amol palekar|tina ambani|asrani|david abraham|leela mishra|pearl padamsee|tun tun|arvind deshpande|piloo j. wadia|shobhini singh|uday chandra|,7.6,1979
Bhayaanak,horror,mithun chakraborty|chandrashekhar|ranjan grewal|madan joshi|ranjeeta kaur|ravi kumar|sadhu meher|nilu phule|jagdish raj|shashi ranjan|reena roy|sharat saxena|om shivpuri|,6.4,1979
Dhongee,action|comedy|drama,randhir kapoor|neetu singh|asrani|farida jalal|sujit kumar|prem nath|satyendra kapoor|sajjan|raj mehra|leena das|rajan haksar|ram mohan|habib|randhir|,5.4,1979
Bin Phere Hum Tere,drama|family,asha parekh|vinod mehra|sarika|nazneen|kamal kapoor|jankidas|c.s. dubey|kuthiravattam pappu|mushtaq merchant|jagdish raj|johnny whisky|dr. datta|salim|nadira|,6.6,1979
Dada (1979 film),action|drama|family,vinod mehra|bindiya goswami|jeevan|amjad khan|jagdeep|raza murad|shashi puri|madhu malini|,4.7,1979
Dil Kaa Heera,drama,dharmendra|hema malini|sachin|abhi bhattacharya|prakash gill|nandita bose|master sandeep|agha|pinchoo kapoor|brahmachari|satyendra kapoor|jagdish raj|jatin khanna|gurbachan singh|,6.9,1979
Do Ladke Dono Kadke,comedy|crime|drama,navin nischol|amol palekar|moushumi chatterjee|asrani|keshto mukherjee|iftekhar|ranjeet|prema narayan|dina pathak|nilu phule|mithu mukherjee|,6.4,1979
Do Shikaari,action|adventure|drama,vinod khanna|rekha|biswajit chatterjee|amjad khan|joginder shelly|,6.5,1979
Dooriyaan,drama|family,uttam kumar|sharmila tagore|shreeram lagoo|,6.4,1979
Duniya Meri Jeb Mein,action|thriller,shashi kapoor|rishi kapoor|neetu singh|keshto mukherjee|,6.4,1979
Gautam Govinda,action|crime|drama,shashi kapoor|shatrughan sinha|moushumi chatterjee|vijay arora|aruna irani|nirupa roy|reena roy|viju khote|mukri|birbal|manmauji|jugnu|om shivpuri|raju shrestha|,5.9,1979
Allauddinum Albhutha Vilakkum,adventure|drama|fantasy,kamal haasan|rajinikanth|jayabharati|sripriya|gemini ganesan|,6.6,1979
Gol Maal,comedy|romance,amol palekar|bindiya goswami|deven verma|shubha khote|manju singh|dina pathak|pushpa|david abraham|yunus parvez|utpal dutt|ashwani|harish magon|bhola|amol sen|,8.6,1979
Gopal Krishna (1979 film),fantasy,sachin|zarina wahab|manher desai|master sandeep|rita bhaduri|jeevan|,6.9,1979
The Great Gambler,action|crime|romance,amitabh bachchan|zeenat aman|neetu singh|prem chopra|utpal dutt|madan puri|om shivpuri|iftekhar|sujit kumar|roopesh kumar|helen|madhu malhotra|jagdish raj|keshav rana|,6.6,1979
Griha Pravesh,drama,sanjeev kumar|sharmila tagore|sarika|master bittoo|sudha chopra|manik dutt|vimal joshi|rajan verma|nandlal sharma|r.s. chopra|satya banerjee|shashi jain|tarun mukherjee|nilesh|,7.7,1979
Hamare Tumhare,family,sanjeev kumar|rakhee gulzar|amjad khan|prem krishan|radhika sarathkumar|mehmood|shubha khote|asrani|gayatri|rakesh bedi|anil kapoor|pucky ali|lucky ali|baby pinky|,6.6,1979
Har Har Gange,adventure|drama|fantasy,neera|ashish kumar|anjana mumtaz|vikram gokhale|jayshree gadkar|jeevan|,6.6,1979
Heera-Moti,action,shatrughan sinha|reena roy|danny denzongpa|bindu|ajit|om shivpuri|anwar hussain|dev kumar|narendra nath|randhir|master bhagwan|shetty|,4.3,1979
Hum Tere Aashiq Hain,drama,jeetendra|hema malini|amjad khan|shreeram lagoo|om shivpuri|sujit kumar|sheetal|keshto mukherjee|arvind trivedi|birbal|ram p. sethi|jankidas|mac mohan|paro|,6.5,1979
Jaan-e-Bahaar,drama|family|romance,asrani|manju asrani|master bhagwan|kanhaiyalal chaturvedi|jagdeep|pinchoo kapoor|padma khanna|viju khote|mehmood jr.|indrani mukherjee|paintal|lalita pawar|madan puri|sachin|,6.7,1979
Jaani Dushman,action|horror|mystery,sunil dutt|sanjeev kumar|shatrughan sinha|vinod mehra|vikram makandar|prem nath|rekha|reena roy|neetu singh|bindiya goswami|sarika|yogeeta bali|neeta mehta|aruna irani|,6.0,1979
Janta Hawaldar,crime|drama|romance,rajesh khanna|ashok kumar|yogeeta bali|mehmood|hema malini|lalita pawar|narendra nath|kanhaiyalal chaturvedi|shailendra singh|shobhna samarth|leela chitnis|dhumal|mohan choti|coca cola|,6.7,1979
Jeena Yahan,drama,shekhar kapur|shabana azmi|dina pathak|sunder|purohit|devendra khandelwal|kiran vairale|v.k. pathak|amol palekar|zarina wahab|,6.6,1979
Jhoota Kahin Ka,comedy|drama|romance,rishi kapoor|neetu singh|,6.1,1979
Jurmana (1979 film),drama|family,rakhee gulzar|amitabh bachchan|shreeram lagoo|vinod mehra|asrani|farida jalal|asit kumar sen|keshto mukherjee|manju asrani|yunus parvez|minaxi anand|ahmer azmi|rahul dev|jagjit uppal|,6.9,1979
Kaala Patthar,action|drama|history,amitabh bachchan|shashi kapoor|shatrughan sinha|rakhee gulzar|parveen babi|neetu singh|parikshat sahni|prem chopra|romesh sharma|poonam dhillon|manmohan krishna|madan puri|iftekhar|sudha chopra|,7.7,1979
Kartavya (1979 film),action|drama,dharmendra|rekha|nirupa roy|aruna irani|utpal dutt|vinod mehra|ranjeet|prakash gill|,7.0,1979
Khandaan (1979 film),drama|romance,jeetendra|sulakshana pandit|bindiya goswami|rakesh roshan|nirupa roy|bindu|sujit kumar|a.k. hangal|raj kishore|rajan haksar|jankidas|dina pathak|pinchoo kapoor|dinesh hingoo|,6.3,1979
Lahu Ke Do Rang (1979 film),action|drama,vinod khanna|shabana azmi|danny denzongpa|helen|ranjeet|shammi|prema narayan|mac mohan|indrani mukherjee|goga kapoor|mohan sherry|rajan haksar|r.s. chopra|vandna shashtri|,6.6,1979
Lok Parlok,action|comedy|drama,agha|aparna|vijaya bhanu|manju bhargavi|rajan haksar|jayamalini|jeetendra|amjad khan|n. salim khan|padma khanna|pradeep kumar|roopesh kumar|prem nath|pandharibai|,6.1,1979
Maan Apmaan,drama,sanjeev kumar|sushma shiromani|usha solanki|amar raj|mohan chandola|aruna rai|neelam|s.p. menghani|shammi|madhukar apte|jayshree t.|,4.9,1979
Magroor (1979 film),action,shatrughan sinha|vidya sinha|prem nath|shreeram lagoo|helen|jagdish raj|nadira|,6.5,1979
Manzil (1979 film),drama|family|romance,amitabh bachchan|moushumi chatterjee|rakesh pandey|satyendra kapoor|a.k. hangal|urmila bhatt|c.s. dubey|praveen paul|sunder|anwar ali|sushil bhatnagar|sanjay|lalita pawar|,7.1,1979
Meera (1979 film),drama|history,hema malini|vinod khanna|shammi kapoor|shreeram lagoo|om shivpuri|a.k. hangal|bharat bhushan|dina pathak|shahu modak|dinesh thakur|t.p. jain|sudha chopra|amjad khan|vidya sinha|,7.1,1979
Meri Biwi Ki Shaadi,comedy|drama,amol palekar|ranjeeta kaur|ashok saraf|,6.6,1979
Mr. Natwarlal,action|comedy|romance,amitabh bachchan|rekha|ajit|kader khan|rajni sharma|indrani mukherjee|satyendra kapoor|iftekhar|yunus parvez|gurbachan singh|vikas anand|goga kapoor|hiralal|veeru devgan|,6.6,1979
Muqabla (1979 film),action|adventure|drama,sunil dutt|shatrughan sinha|rajesh khanna|reena roy|bindiya goswami|shreeram lagoo|prem nath|rekha|om shivpuri|jeetendranath|sulochana latkar|ram soni|madan puri|manmohan krishna|,6.5,1979
Nagin Aur Suhagin,adventure|drama|thriller,vijay arora|rita bhaduri|mahesh bhatt|laxmi chhaya|harita dave|devyani|kalpana divan|c.s. dubey|paidi jairaj|baby minal|mulraj rajda|master ravi|geera shah|jagdish shah|,6.2,1979
Nauker (1979 film),comedy|drama,sanjeev kumar|jaya bachchan|yogeeta bali|mehmood|manmohan krishna|lalita pawar|madhu malini|jalal agha|,6.6,1979
Noorie,drama|family|romance,farooq shaikh|poonam dhillon|madan puri|iftekhar|padma khanna|gita siddharth|javed khan|bharat kapoor|rajan verma|vikas anand|h.l. pardesi|prince shakeel|mahan swadesh|ashok|,6.0,1979
Prem Bandhan,adventure|drama|romance,rajesh khanna|rekha|moushumi chatterjee|vikram makandar|helen|master bhagwan|keshto mukherjee|prema narayan|a.k. hangal|lalita pawar|,6.8,1979
Prem Vivah,drama|family,asha parekh|,5.9,1979
Raadha Aur Seeta,drama|family,rajendra nath|madan puri|leela mishra|,5.4,1979
Ratnadeep (film),drama|family,hema malini|girish karnad|dheeraj kumar|a.k. hangal|sulochana latkar|nandita thakur|prema narayan|pinchoo kapoor|yunus parvez|sagar|poornima jayaram|r.s. chopra|gautam sarin|neelima|,7.1,1979
Saanch Ko Aanch Nahin,drama|family,arun govil|madhu kapoor|sunder|gajanan jagirdar|birbal|om shivpuri|om puri|,6.4,1979
Salaam Memsaab,action|comedy|drama,asrani|zarina wahab|yogeeta bali|,5.3,1979
Sampark,drama,madhu kapoor|girish karnad|mazhar khan|kulbhushan kharbanda|rameshwari|prabir roy|anjan srivastav|,6.9,1979
Sargam (1979 film),musical|romance,rishi kapoor|jaya prada|shashikala|dheeraj kumar|rajni sharma|leela mishra|jankidas|kamaldeep|trilok kapoor|uma khosla|jeeth mohan|ramdas malthane|baby dimple|babbanlal yadav|,6.6,1979
Sarkari Mehmaan,drama|family,vinod khanna|jasmin|amjad khan|ranjeet|bindu|om shivpuri|indrani mukherjee|manju asrani|jagdeep|satyendra kapoor|padma khanna|manmohan|vikas anand|sunder|,4.8,1979
Sawan Ko Aane Do,drama|family|musical,rita bhaduri|arun govil|jankidas|pinchoo kapoor|roopesh kumar|leela mishra|mukri|yunus parvez|amrish puri|,7.4,1979
Shaayad,drama,vijayendra ghatge|neeta mehta|naseeruddin shah|,4.8,1979
Shikshaa,drama|family,raj kiran|sushma verma|beena banerjee|benjamin gilani|iftekhar|urmila bhatt|sharat saxena|pinchoo kapoor|krishan dhawan|master sandeep|jagdeep|,5.4,1979
Shodh,drama,om puri|,7.1,1981
Solva Sawan,drama,adil amaan|kulbhushan kharbanda|madhukar|amol palekar|dina pathak|,6.2,1979
Suhaag (1979 film),action|drama|musical,shashi kapoor|amitabh bachchan|rekha|parveen babi|nirupa roy|ranjeet|kader khan|amjad khan|jeevan|hercules|jagdish raj|krishan dhawan|m. rajan|nishan singh|,6.7,1979
Sunayana,comedy|drama|family,sulochana latkar|murad|,6.2,1979
Surakksha,action|adventure|crime,ranjeeta kaur|mithun chakraborty|bhushan jeevan|jagdeep|aruna irani|prema narayan|mala jaggi|suresh oberoi|iftekhar|tej sapru|,7.2,1979
Taraana,musical|romance,mithun chakraborty|ranjeeta kaur|master bhagwan|jagdeep|urmila bhatt|shreeram lagoo|om shivpuri|jayshree t.|yunus parvez|sunder|shubha khote|,7.0,1979
Tere Pyar Mein (1979 film),musical,mithun chakraborty|abha dhulia|vijayendra ghatge|iftekhar|nadira|paintal|madan puri|,6.0,1978
Aahuti (1978 film),action|drama,rajendra kumar|shashi kapoor|rakesh roshan|parveen babi|zaheera|asha sachdev|ajit|madan puri|paintal|kamini kaushal|dulari|raj mehra|birbal|preeti ganguli|,6.0,1978
Aakhri Daku,action,randhir kapoor|vinod khanna|rekha|reena roy|sujit kumar|ranjeet|paintal|agha|keshto mukherjee|paidi jairaj|mumtaz begum|,5.6,1978
Amar Shakti,action|adventure|comedy,shashi kapoor|shatrughan sinha|sulakshana pandit|manjula|pradeep kumar|jeevan|om shivpuri|ranjeet|roopesh kumar|indrani mukherjee|alka|murad|ram mohan|mohan sherry|,4.8,1978
Anjane Mein,drama|family,rishi kapoor|neetu singh|nirupa roy|asha sachdev|jagdeep|ranjeet|anwar hussain|satyendra kapoor|raju shrestha|master sakka|sudhir|baby rani|ranvir raj|nathuram|,6.1,1978
Ankhiyon Ke Jharokhon Se,drama|family|musical,sachin|ranjeeta kaur|madan puri|iftekhar|urmila bhatt|rajendra nath|mehmood jr.|harindranath chattopadhyay|murad|birbal|h.l. pardesi|,7.2,1978
Arvind Desai Ki Ajeeb Dastaan,drama,dilip dhawan|anjali paigankar|shreeram lagoo|sudha shivpuri|om puri|satish shah|deepak seth|sulabha deshpande|rajendra jaspal|sheila fernandes|rohini hattangadi|vikram vohra|abha dhulia|suresh oberoi|,7.3,1978
Apna Khoon,action|comedy|crime,shashi kapoor|hema malini|ashok kumar|pran|amjad khan|indrani mukherjee|helen|bindu|anwar hussain|jankidas|mohan choti|chandrashekhar|rajan haksar|rajan kapoor|,5.5,1978
Atithee,drama|romance,shashi kapoor|shabana azmi|shatrughan sinha|vidya sinha|utpal dutt|mac mohan|deven verma|bharat bhushan|,5.9,1978
Azaad (1978 film),action|comedy|drama,dharmendra|hema malini|prem chopra|sulochana latkar|keshto mukherjee|randhir|jankidas|master bhagwan|mohan choti|birbal|viju khote|kuljeet|roohi berde|kanu roy|,7.2,1978
Badalte Rishtey,musical|romance,jeetendra|rishi kapoor|reena roy|asrani|pinchoo kapoor|a.k. hangal|raju shrestha|shubha khote|urmila bhatt|dina pathak|omkar|madan joshi|chandraprabha|h.l. pardesi|,6.7,1978
Besharam,action|drama,sharmila tagore|amitabh bachchan|bindu|helen|amjad khan|,6.1,1978
Bhola Bhala,action|crime|drama,rajesh khanna|rekha|moushumi chatterjee|joginder shelly|satyendra kapoor|sulochana latkar|pinchoo kapoor|v. gopal|master chicoo|sudhir thakkar|kumari naaz|mumtaz begum|jagdeep|raj mehra|,6.4,1978
Chakravyuha (1978 film),action|crime|mystery,rajesh khanna|neetu singh|vinod mehra|simple kapadia|pradeep kumar|deven verma|dina pathak|a.k. hangal|pinchoo kapoor|om shivpuri|ashim kumar|yunus parvez|raju shrestha|rozeena|,6.6,1978
Chor Ho To Aisa,action|crime|drama,shatrughan sinha|reena roy|bindu|,5.1,1978
Chor Ke Ghar Chor,action|comedy|crime,randhir kapoor|zeenat aman|ashok kumar|pran|deven verma|anwar hussain|anoop kumar|sulochana latkar|raza murad|preeti ganguli|shetty|helen|d.k. sapru|manmohan|,6.4,1978
College Girl (1978 film),romance,sachin|bindiya goswami|rita bhaduri|master bhagwan|paintal|shreeram lagoo|urmila bhatt|,6.2,1978
Do Musafir,drama|family|romance,shashi kapoor|rekha|ashok kumar|prem chopra|pran|jagdeep|meena t.|chandrashekhar|manorama|dulari|shetty|aarti|kaiser usmani|shivraj|,6.8,1978
Des Pardes (1978 film),drama|family,dev anand|ajit|pran|indrani mukherjee|tina ambani|bindu|prem chopra|amjad khan|a.k. hangal|mehmood|gajanan jagirdar|shreeram lagoo|paintal|sujit kumar|,7.1,1978
Damaad,comedy,amol palekar|ranjeeta kaur|ashok saraf|shreeram lagoo|tarla mehta|pinchoo kapoor|dina pathak|preeti ganguli|master sakka|mushtaq merchant|maruti|keshto mukherjee|c.s. dubey|jagdeep|,7.1,1978
Daaku Aur Jawan,action,sunil dutt|reena roy|vinod khanna|leena chandavarkar|bindu|om prakash|anwar hussain|ranjeet|kanhaiyalal chaturvedi|asrani|padma khanna|gulshan bawra|tun tun|sunder|,5.5,1978
Devata (1978 film),drama|family,sanjeev kumar|shabana azmi|rakesh roshan|sarika|shreeram lagoo|danny denzongpa|shivraj|azaad irani|major anand|vijay kumar|viju khote|prakash|makarnai|debieprasad|,6.9,1978
Dillagi (1978 film),comedy|romance,dharmendra|hema malini|mithu mukherjee|deven verma|asrani|urmila bhatt|kajri|preeti ganguli|ritu kamal|anjali paigankar|manjita|poornima jayaram|shobhna shah|lalita kumari|,7.0,1978
Don (1978 film),action|crime|thriller,amitabh bachchan|zeenat aman|pran|iftekhar|om shivpuri|satyendra kapoor|paidi jairaj|kamal kapoor|arpana choudhary|helen|m.b. shetty|mac mohan|azaad irani|yashraj|,7.8,1978
Gaman,drama,farooq shaikh|smita patil|gita siddharth|jalal agha|amir banu|hira devi mishra|nitin sethi|arvind deshpande|sulabha deshpande|nana patekar|mahabali singh|arun joglekar|dinshaw daji|satish shah|,7.0,1978
Dil Se Mile Dil,romance,bhisham kohli|shyamalee|om shivpuri|abhi bhattacharya|leela mishra|bharat kapoor|gautam sarin|julie|twinkle|madhup sharma|shankar bhake|shekhar wadhawan|vimal chopra|shreeram shastri|,4.3,1978
Hullabaloo Over Georgie and Bonnie's Pictures,comedy|drama,peggy ashcroft|larry pine|saeed jaffrey|victor banerjee|aparna sen|jane booker|jins shamsuddin|jenny beavan|,6.1,1978
Ganga Ki Saugandh,action,amitabh bachchan|rekha|amjad khan|bindu|i.s. johar|anwar hussain|farida jalal|iftekhar|jagdeep|anju mahendru|shetty master|tabrez|mukri|pran|,5.9,1978
Heeralaal Pannalal (1978 film),action|comedy,shashi kapoor|randhir kapoor|zeenat aman|neetu singh|ajit|prem nath|kamini kaushal|amjad khan|asrani|madan puri|tun tun|ranjeet|ramesh deo|,6.7,1978
Ghar (film),drama|romance,vinod mehra|rekha|prema narayan|asit kumar sen|dinesh thakur|shashi kiran|c.s. dubey|viju khote|tarla mehta|alankar joshi|madan kumar|major anand|paresh nanda|bhaskar roy chowdhury|,7.0,1978
